 pork, sandwich bags, lunch meat, all- purpose, flour, soda, butter, vegetables, beef, aluminum foil, all- purpose, dinner rolls, shampoo, all- purpose
 vegetables, butter, toilet paper, ketchup, waffles, soap, aluminum foil, coffee/tea, mixes, vegetables, pasta, flour, ,
 mixes, cheeses, tortillas, ice cream, vegetables, dishwashing liquid/detergent, vegetables, beef, flour, vegetables, hand soap, paper towels, hand soap, sugar
 poultry, tortillas, eggs, cereals, poultry, fruits, dinner rolls, sandwich bags, tortillas, laundry detergent, all- purpose, lunch meat, sandwich loaves, pasta
 bagels, mixes, vegetables, fruits, vegetables, paper towels, milk, spaghetti sauce, yogurt, ,,,,
 ketchup, tortillas, vegetables, eggs, all- purpose, sandwich bags, soda, yogurt, sandwich loaves, pasta, fruits, milk, aluminum foil, tortillas
 vegetables, hand soap, milk, mixes, tortillas, flour, lunch meat, sandwich bags, butter, hand soap, ,,,
 poultry, individual meals, laundry detergent, shampoo, all- purpose, vegetables, fruits, dinner rolls, beef, shampoo, milk, mixes, cereals, ice cream
 pork, hand soap, bagels, lunch meat, ,,,,,,,,,
 pasta, spaghetti sauce, waffles, beef, butter, ice cream, sandwich loaves, tortillas, beef, butter, all- purpose, vegetables, cereals, fruits
 shampoo, juice, vegetables, vegetables, laundry detergent, ice cream, sandwich bags, beef, lunch meat, spaghetti sauce, ,,,
 sugar, soda, sandwich bags, milk, ice cream, milk, soda, eggs, cereals, poultry, beef, ,,
 hand soap, beef, cereals, mixes, milk, dinner rolls, mixes, dishwashing liquid/detergent, ,,,,,
 cereals, individual meals, dishwashing liquid/detergent, ice cream, spaghetti sauce, ketchup, individual meals, cheeses, ,,,,,
 coffee/tea, eggs, spaghetti sauce, pasta, tortillas, paper towels, dishwashing liquid/detergent, ketchup, ketchup, butter, bagels, soap, vegetables, waffles
 sandwich loaves, juice, waffles, juice, flour, yogurt, pasta, butter, pork, eggs, vegetables, butter, sandwich bags, coffee/tea
 soap, lunch meat, pasta, ketchup, laundry detergent, vegetables, coffee/tea, ice cream, coffee/tea, waffles, hand soap, milk, milk, tortillas
 yogurt, poultry, pasta, vegetables, bagels, pork, mixes, coffee/tea, cheeses, flour, dinner rolls, juice, spaghetti sauce, ketchup
 pasta, dishwashing liquid/detergent, cereals, paper towels, shampoo, flour, hand soap, dinner rolls, cereals, paper towels, soap, vegetables, fruits, tortillas
 tortillas, dishwashing liquid/detergent, vegetables, bagels, shampoo, butter, juice, bagels, vegetables, flour, dinner rolls, individual meals, bagels, shampoo
 paper towels, paper towels, soap, ice cream, coffee/tea, flour, sandwich bags, spaghetti sauce, lunch meat, hand soap, toilet paper, toilet paper, ,
 individual meals, dishwashing liquid/detergent, lunch meat, yogurt, cereals, cereals, vegetables, hand soap, hand soap, spaghetti sauce, beef, sugar, vegetables, tortillas
 aluminum foil, aluminum foil, aluminum foil, eggs, tortillas, dishwashing liquid/detergent, pasta, shampoo, vegetables, bagels, sandwich loaves, pork, toilet paper, all- purpose
 soap, ketchup, soda, soap, pork, individual meals, flour, yogurt, coffee/tea, ketchup, dinner rolls, beef, waffles, aluminum foil
 laundry detergent, aluminum foil, lunch meat, milk, shampoo, flour, all- purpose, ketchup, soap, shampoo, mixes, bagels, toilet paper, flour
 aluminum foil, mixes, aluminum foil, cheeses, laundry detergent, poultry, mixes, flour, cheeses, dishwashing liquid/detergent, yogurt, cheeses, vegetables, poultry
 laundry detergent, poultry, milk, juice, vegetables, poultry, flour, beef, ice cream, pasta, sandwich loaves, paper towels, pasta, cereals
 pork, lunch meat, pork, soap, waffles, sandwich loaves, waffles, pasta, lunch meat, cheeses, sandwich loaves, soda, flour, flour
 beef, yogurt, ketchup, lunch meat, lunch meat, vegetables, mixes, sandwich bags, fruits, yogurt, fruits, ,,
 sandwich bags, flour, lunch meat, beef, aluminum foil, toilet paper, mixes, dinner rolls, soap, ice cream, sandwich loaves, vegetables, toilet paper, sandwich loaves
 fruits, eggs, mixes, mixes, dishwashing liquid/detergent, lunch meat, soda, fruits, spaghetti sauce, ice cream, pasta, ketchup, pasta, 
 soap, aluminum foil, milk, butter, vegetables, cereals, milk, mixes, toilet paper, milk, milk, butter, juice, 
 aluminum foil, soda, paper towels, vegetables, aluminum foil, yogurt, vegetables, individual meals, lunch meat, flour, vegetables, eggs, ,
 sugar, vegetables, paper towels, pasta, dinner rolls, soap, aluminum foil, ketchup, spaghetti sauce, vegetables, vegetables, yogurt, vegetables, lunch meat
 ketchup, flour, spaghetti sauce, flour, bagels, pasta, cheeses, sandwich loaves, dinner rolls, tortillas, soda, soda, individual meals, toilet paper
 ketchup, flour, coffee/tea, tortillas, toilet paper, vegetables, vegetables, shampoo, yogurt, pork, poultry, lunch meat, ketchup, poultry
 spaghetti sauce, vegetables, flour, milk, butter, butter, hand soap, toilet paper, ice cream, spaghetti sauce, mixes, juice, pasta, tortillas
 butter, spaghetti sauce, eggs, toilet paper, tortillas, flour, all- purpose, ,,,,,,
 pasta, vegetables, vegetables, lunch meat, shampoo, soap, milk, aluminum foil, ketchup, eggs, lunch meat, toilet paper, milk, sandwich loaves
 butter, eggs, poultry, all- purpose, lunch meat, juice, pasta, dishwashing liquid/detergent, aluminum foil, soda, milk, cheeses, laundry detergent, soap
 sandwich bags, laundry detergent, lunch meat, vegetables, dishwashing liquid/detergent, all- purpose, butter, aluminum foil, paper towels, sandwich loaves, lunch meat, ketchup, milk, waffles
 mixes, dinner rolls, cereals, ice cream, toilet paper, eggs, sandwich bags, yogurt, soda, sandwich bags, hand soap, dishwashing liquid/detergent, soda, waffles
 cheeses, vegetables, juice, coffee/tea, laundry detergent, sandwich loaves, shampoo, soda, toilet paper, eggs, coffee/tea, individual meals, butter, poultry
 juice, cereals, lunch meat, coffee/tea, cereals, soda, lunch meat, soap, dishwashing liquid/detergent, mixes, sandwich bags, poultry, shampoo, waffles
 spaghetti sauce, all- purpose, dinner rolls, yogurt, pasta, vegetables, beef, pork, aluminum foil, soda, ketchup, ,,
 yogurt, hand soap, vegetables, coffee/tea, dinner rolls, individual meals, dinner rolls, eggs, flour, pork, tortillas, all- purpose, coffee/tea, cheeses
 bagels, tortillas, vegetables, vegetables, waffles, coffee/tea, hand soap, lunch meat, pork, mixes, vegetables, tortillas, aluminum foil, 
 vegetables, vegetables, sandwich bags, sugar, ,,,,,,,,,
 spaghetti sauce, laundry detergent, beef, sugar, sandwich loaves, pasta, ,,,,,,,
 vegetables, shampoo, ice cream, coffee/tea, bagels, vegetables, sandwich loaves, toilet paper, all- purpose, mixes, ,,,
 yogurt, paper towels, cereals, vegetables, aluminum foil, dishwashing liquid/detergent, aluminum foil, tortillas, beef, sandwich bags, laundry detergent, laundry detergent, sandwich bags, cheeses
 spaghetti sauce, tortillas, bagels, vegetables, vegetables, vegetables, pork, toilet paper, tortillas, lunch meat, butter, paper towels, bagels, tortillas
 mixes, shampoo, ketchup, all- purpose, sugar, dinner rolls, soap, pork, cereals, dishwashing liquid/detergent, sandwich loaves, hand soap, vegetables, 
 shampoo, ice cream, lunch meat, soap, ice cream, poultry, ,,,,,,,
 fruits, flour, coffee/tea, laundry detergent, vegetables, mixes, dinner rolls, yogurt, bagels, laundry detergent, beef, shampoo, sugar, ketchup
 vegetables, sugar, sandwich bags, ice cream, cereals, laundry detergent, butter, waffles, soap, laundry detergent, soap, sugar, ,
 aluminum foil, beef, vegetables, butter, pasta, fruits, juice, milk, all- purpose, eggs, bagels, soda, laundry detergent, dinner rolls
 cereals, lunch meat, sugar, cereals, juice, cereals, poultry, ketchup, dinner rolls, vegetables, toilet paper, cereals, mixes, waffles
 individual meals, sandwich loaves, toilet paper, waffles, toilet paper, vegetables, ice cream, ice cream, sugar, vegetables, cheeses, dinner rolls, vegetables, shampoo
 bagels, toilet paper, lunch meat, bagels, eggs, sandwich bags, dishwashing liquid/detergent, mixes, laundry detergent, pasta, individual meals, cheeses, cereals, tortillas
 vegetables, individual meals, waffles, lunch meat, cereals, soda, yogurt, hand soap, cheeses, coffee/tea, ,,,
 dishwashing liquid/detergent, laundry detergent, mixes, ice cream, aluminum foil, fruits, hand soap, waffles, ,,,,,
 milk, lunch meat, shampoo, juice, waffles, butter, cereals, flour, milk, vegetables, vegetables, lunch meat, sandwich bags, eggs
 bagels, beef, ice cream, sandwich bags, coffee/tea, yogurt, poultry, coffee/tea, soap, dinner rolls, cereals, tortillas, aluminum foil, pork
 shampoo, ice cream, dishwashing liquid/detergent, milk, ice cream, vegetables, beef, milk, beef, waffles, ketchup, mixes, all- purpose, laundry detergent
 paper towels, all- purpose, individual meals, cereals, juice, hand soap, poultry, paper towels, pork, ice cream, butter, all- purpose, butter, aluminum foil
 dishwashing liquid/detergent, lunch meat, ketchup, pasta, waffles, fruits, coffee/tea, spaghetti sauce, toilet paper, beef, dinner rolls, ,,
 bagels, bagels, paper towels, mixes, bagels, ice cream, flour, eggs, lunch meat, sugar, juice, dinner rolls, vegetables, soap
 vegetables, vegetables, cheeses, fruits, hand soap, shampoo, dishwashing liquid/detergent, laundry detergent, sandwich loaves, ice cream, poultry, butter, ,
 pork, dinner rolls, dishwashing liquid/detergent, fruits, cereals, flour, dishwashing liquid/detergent, beef, lunch meat, ,,,,
 ketchup, spaghetti sauce, coffee/tea, paper towels, sandwich loaves, milk, hand soap, vegetables, juice, sandwich loaves, eggs, hand soap, soda, pasta
 vegetables, fruits, all- purpose, flour, eggs, ketchup, laundry detergent, soap, fruits, sugar, bagels, sandwich bags, soap, fruits
 lunch meat, pork, pork, vegetables, vegetables, cereals, soap, soap, dinner rolls, cheeses, lunch meat, soda, sugar, sandwich bags
 cheeses, toilet paper, juice, vegetables, ice cream, bagels, lunch meat, ,,,,,,
 all- purpose, individual meals, yogurt, beef, coffee/tea, vegetables, juice, ice cream, poultry, aluminum foil, vegetables, spaghetti sauce, milk, vegetables
 mixes, all- purpose, toilet paper, fruits, individual meals, mixes, spaghetti sauce, ketchup, soap, tortillas, laundry detergent, paper towels, all- purpose, waffles
 bagels, spaghetti sauce, toilet paper, sugar, dishwashing liquid/detergent, lunch meat, bagels, lunch meat, fruits, fruits, fruits, coffee/tea, dinner rolls, vegetables
 beef, ketchup, shampoo, juice, ,,,,,,,,,
 hand soap, ketchup, lunch meat, coffee/tea, mixes, waffles, juice, sandwich bags, dishwashing liquid/detergent, sandwich loaves, dinner rolls, mixes, vegetables, mixes
 bagels, waffles, laundry detergent, all- purpose, vegetables, waffles, aluminum foil, dishwashing liquid/detergent, ,,,,,
 soap, pasta, spaghetti sauce, coffee/tea, vegetables, pork, soda, juice, butter, vegetables, spaghetti sauce, cereals, bagels, shampoo
 tortillas, tortillas, vegetables, eggs, bagels, shampoo, ice cream, cereals, ,,,,,
 laundry detergent, butter, pasta, butter, fruits, coffee/tea, pasta, sandwich loaves, vegetables, ketchup, ,,,
 vegetables, vegetables, coffee/tea, mixes, flour, milk, individual meals, aluminum foil, butter, ketchup, sugar, coffee/tea, cereals, juice
 sandwich bags, cheeses, dinner rolls, dishwashing liquid/detergent, tortillas, shampoo, all- purpose, dishwashing liquid/detergent, pasta, mixes, bagels, cheeses, fruits, ice cream
 toilet paper, toilet paper, aluminum foil, tortillas, ice cream, vegetables, tortillas, beef, bagels, soda, individual meals, poultry, dishwashing liquid/detergent, cheeses
 eggs, pork, dinner rolls, beef, sandwich loaves, sugar, vegetables, vegetables, ,,,,,
 toilet paper, milk, laundry detergent, yogurt, juice, ice cream, soap, shampoo, pasta, cereals, cereals, dinner rolls, flour, vegetables
 sugar, aluminum foil, dishwashing liquid/detergent, lunch meat, beef, shampoo, ice cream, spaghetti sauce, bagels, waffles, vegetables, fruits, beef, 
 hand soap, soda, all- purpose, individual meals, aluminum foil, coffee/tea, beef, pork, juice, sandwich loaves, eggs, sugar, bagels, butter
 juice, coffee/tea, soda, ice cream, tortillas, sandwich bags, bagels, coffee/tea, ,,,,,
 ice cream, ice cream, dinner rolls, eggs, tortillas, pasta, all- purpose, fruits, cheeses, cheeses, flour, poultry, cheeses, pasta
 bagels, sugar, soda, paper towels, waffles, individual meals, vegetables, laundry detergent, sandwich bags, flour, soda, mixes, vegetables, vegetables
 coffee/tea, ice cream, juice, soda, soap, spaghetti sauce, ,,,,,,,
 ketchup, dishwashing liquid/detergent, shampoo, yogurt, individual meals, toilet paper, flour, eggs, waffles, shampoo, vegetables, butter, fruits, eggs
 juice, sandwich loaves, lunch meat, ice cream, waffles, coffee/tea, pork, poultry, poultry, soda, fruits, ice cream, waffles, flour
 vegetables, soap, ketchup, laundry detergent, laundry detergent, hand soap, flour, shampoo, ketchup, laundry detergent, milk, flour, dishwashing liquid/detergent, sugar
 soda, sandwich loaves, vegetables, shampoo, mixes, butter, poultry, eggs, vegetables, juice, spaghetti sauce, yogurt, coffee/tea, hand soap
 ketchup, spaghetti sauce, all- purpose, lunch meat, cereals, tortillas, vegetables, fruits, beef, fruits, juice, vegetables, paper towels, ice cream
 yogurt, dinner rolls, fruits, soap, waffles, milk, pasta, hand soap, cheeses, laundry detergent, cheeses, soda, vegetables, all- purpose
 shampoo, dishwashing liquid/detergent, poultry, waffles, pork, vegetables, aluminum foil, cereals, mixes, pasta, lunch meat, juice, sugar, ketchup
 cereals, soap, pasta, pasta, flour, dishwashing liquid/detergent, butter, yogurt, flour, cereals, paper towels, paper towels, vegetables, 
 pork, tortillas, aluminum foil, hand soap, soda, shampoo, yogurt, vegetables, soda, sandwich loaves, flour, butter, milk, 
 cereals, aluminum foil, aluminum foil, vegetables, sandwich bags, cereals, mixes, vegetables, butter, individual meals, ketchup, hand soap, poultry, juice
 vegetables, poultry, flour, ice cream, yogurt, sandwich bags, milk, pasta, paper towels, milk, soap, cereals, soda, shampoo
 hand soap, pork, soap, soap, paper towels, vegetables, flour, soda, ketchup, cheeses, milk, laundry detergent, sandwich loaves, tortillas
 waffles, tortillas, sandwich loaves, mixes, ketchup, butter, eggs, all- purpose, vegetables, laundry detergent, soap, toilet paper, dinner rolls, soda
 ketchup, cheeses, sandwich loaves, individual meals, fruits, coffee/tea, mixes, toilet paper, yogurt, hand soap, juice, vegetables, sandwich bags, shampoo
 sandwich bags, soap, laundry detergent, cheeses, coffee/tea, lunch meat, waffles, poultry, aluminum foil, hand soap, flour, cheeses, individual meals, flour
 mixes, butter, paper towels, eggs, vegetables, dinner rolls, vegetables, bagels, poultry, dishwashing liquid/detergent, aluminum foil, pork, dinner rolls, pork
 fruits, cereals, yogurt, vegetables, flour, ice cream, sugar, cheeses, dinner rolls, vegetables, paper towels, pasta, ketchup, spaghetti sauce
 dinner rolls, waffles, lunch meat, cereals, spaghetti sauce, fruits, sandwich bags, vegetables, eggs, lunch meat, cereals, laundry detergent, mixes, sugar
 aluminum foil, vegetables, juice, laundry detergent, beef, beef, ketchup, butter, mixes, ice cream, dishwashing liquid/detergent, lunch meat, bagels, aluminum foil
 tortillas, sandwich bags, bagels, cereals, dinner rolls, paper towels, poultry, mixes, ketchup, soap, waffles, fruits, butter, aluminum foil
 sandwich loaves, vegetables, beef, aluminum foil, eggs, fruits, waffles, sandwich bags, lunch meat, vegetables, dishwashing liquid/detergent, ice cream, sandwich bags, beef
 vegetables, vegetables, vegetables, toilet paper, individual meals, paper towels, yogurt, waffles, milk, laundry detergent, dishwashing liquid/detergent, aluminum foil, eggs, dinner rolls
 dishwashing liquid/detergent, beef, pork, hand soap, flour, fruits, sandwich bags, hand soap, poultry, spaghetti sauce, soda, all- purpose, lunch meat, mixes
 shampoo, butter, toilet paper, aluminum foil, fruits, milk, beef, beef, all- purpose, dishwashing liquid/detergent, sandwich bags, sugar, poultry, fruits
 sugar, shampoo, toilet paper, ice cream, laundry detergent, yogurt, vegetables, dinner rolls, dishwashing liquid/detergent, vegetables, juice, vegetables, sugar, aluminum foil
 waffles, toilet paper, butter, shampoo, poultry, ,,,,,,,,
 cereals, waffles, flour, milk, juice, cheeses, spaghetti sauce, fruits, individual meals, paper towels, shampoo, hand soap, waffles, hand soap
 poultry, bagels, hand soap, beef, dishwashing liquid/detergent, butter, pork, toilet paper, tortillas, individual meals, mixes, vegetables, juice, laundry detergent
 soda, fruits, butter, coffee/tea, butter, ,,,,,,,,
 individual meals, ice cream, paper towels, spaghetti sauce, toilet paper, butter, hand soap, aluminum foil, ice cream, milk, dinner rolls, pasta, juice, waffles
 vegetables, coffee/tea, sugar, waffles, lunch meat, milk, vegetables, ,,,,,,
 coffee/tea, laundry detergent, shampoo, dinner rolls, sugar, cereals, ketchup, pasta, sugar, vegetables, soda, tortillas, lunch meat, vegetables
 tortillas, mixes, soda, flour, poultry, sandwich bags, dishwashing liquid/detergent, bagels, dinner rolls, individual meals, toilet paper, waffles, butter, milk
 soap, all- purpose, spaghetti sauce, shampoo, butter, soap, yogurt, eggs, ,,,,,
 toilet paper, vegetables, all- purpose, cheeses, sugar, ice cream, toilet paper, tortillas, sandwich loaves, poultry, yogurt, vegetables, ,
 milk, individual meals, paper towels, tortillas, butter, eggs, cereals, vegetables, pork, poultry, cereals, sandwich bags, laundry detergent, vegetables
 vegetables, soap, cheeses, soda, lunch meat, pasta, coffee/tea, ,,,,,,
 ketchup, sugar, spaghetti sauce, waffles, tortillas, dinner rolls, hand soap, sandwich bags, mixes, sugar, toilet paper, juice, waffles, mixes
 dishwashing liquid/detergent, sandwich loaves, coffee/tea, bagels, pork, cheeses, soap, butter, poultry, toilet paper, bagels, ketchup, cheeses, waffles
 ketchup, pasta, spaghetti sauce, lunch meat, vegetables, butter, individual meals, bagels, mixes, vegetables, soap, ,,
 ketchup, juice, vegetables, eggs, coffee/tea, pork, waffles, bagels, dinner rolls, aluminum foil, yogurt, cheeses, vegetables, all- purpose
 mixes, eggs, laundry detergent, cheeses, aluminum foil, poultry, yogurt, juice, dishwashing liquid/detergent, vegetables, pork, soda, all- purpose, butter
 coffee/tea, fruits, milk, mixes, cereals, individual meals, soap, coffee/tea, mixes, bagels, coffee/tea, mixes, ,
 butter, eggs, aluminum foil, fruits, individual meals, lunch meat, cereals, ,,,,,,
 milk, soap, aluminum foil, flour, pork, ice cream, poultry, vegetables, pasta, sugar, soda, ,,
 lunch meat, vegetables, mixes, soap, vegetables, ketchup, flour, yogurt, vegetables, soap, eggs, cheeses, butter, soda
 aluminum foil, all- purpose, dinner rolls, butter, soap, dinner rolls, flour, vegetables, spaghetti sauce, pasta, pasta, individual meals, juice, laundry detergent
 vegetables, individual meals, mixes, toilet paper, fruits, soap, cereals, lunch meat, dishwashing liquid/detergent, poultry, cheeses, laundry detergent, sandwich bags, aluminum foil
 milk, sandwich loaves, individual meals, mixes, fruits, coffee/tea, paper towels, milk, individual meals, lunch meat, pork, sandwich bags, yogurt, sandwich bags
 coffee/tea, ketchup, dishwashing liquid/detergent, milk, toilet paper, shampoo, cereals, soap, waffles, flour, toilet paper, dishwashing liquid/detergent, all- purpose, hand soap
 spaghetti sauce, hand soap, sugar, soap, waffles, laundry detergent, soap, butter, dinner rolls, juice, ice cream, ketchup, poultry, vegetables
 dishwashing liquid/detergent, waffles, cheeses, soap, pasta, dinner rolls, cheeses, yogurt, vegetables, flour, sandwich bags, all- purpose, cheeses, tortillas
 paper towels, eggs, cereals, individual meals, cereals, soda, butter, paper towels, soda, pasta, flour, cereals, mixes, juice
 pasta, all- purpose, butter, dishwashing liquid/detergent, flour, ketchup, sandwich bags, tortillas, fruits, poultry, flour, pork, ,
 cereals, waffles, sugar, pork, pasta, ice cream, vegetables, sugar, yogurt, soda, pasta, flour, all- purpose, laundry detergent
 eggs, waffles, sandwich bags, vegetables, ice cream, all- purpose, coffee/tea, lunch meat, flour, mixes, ice cream, spaghetti sauce, aluminum foil, laundry detergent
 eggs, pasta, tortillas, hand soap, yogurt, dinner rolls, dishwashing liquid/detergent, spaghetti sauce, tortillas, pasta, spaghetti sauce, individual meals, ice cream, pork
 milk, coffee/tea, fruits, cereals, eggs, mixes, poultry, pork, spaghetti sauce, sandwich loaves, pork, beef, mixes, vegetables
 vegetables, juice, laundry detergent, sugar, sugar, spaghetti sauce, sugar, yogurt, spaghetti sauce, beef, soda, ice cream, toilet paper, laundry detergent
 vegetables, individual meals, shampoo, tortillas, vegetables, cheeses, vegetables, individual meals, ,,,,,
 sugar, all- purpose, ice cream, shampoo, shampoo, ice cream, poultry, laundry detergent, vegetables, individual meals, ,,,
 waffles, all- purpose, sugar, coffee/tea, individual meals, mixes, coffee/tea, tortillas, ,,,,,
 fruits, juice, poultry, beef, ketchup, laundry detergent, spaghetti sauce, beef, waffles, soda, soap, sugar, coffee/tea, all- purpose
 flour, hand soap, dishwashing liquid/detergent, sandwich bags, mixes, tortillas, hand soap, yogurt, pork, flour, coffee/tea, pasta, beef, poultry
 spaghetti sauce, aluminum foil, eggs, ice cream, juice, cereals, sugar, mixes, paper towels, ,,,,
 cheeses, sandwich bags, cereals, juice, lunch meat, poultry, fruits, yogurt, shampoo, beef, toilet paper, sandwich loaves, juice, soap
 hand soap, pasta, bagels, cheeses, all- purpose, mixes, ketchup, sandwich bags, soda, lunch meat, spaghetti sauce, beef, fruits, mixes
 soda, bagels, sandwich loaves, soap, aluminum foil, soda, vegetables, cereals, paper towels, aluminum foil, juice, individual meals, aluminum foil, shampoo
 toilet paper, aluminum foil, coffee/tea, vegetables, ,,,,,,,,,
 individual meals, pasta, toilet paper, bagels, cheeses, bagels, shampoo, beef, individual meals, sandwich bags, waffles, butter, milk, flour
 vegetables, individual meals, toilet paper, cereals, sandwich loaves, eggs, fruits, cereals, coffee/tea, waffles, toilet paper, cereals, ,
 juice, sugar, fruits, laundry detergent, fruits, bagels, vegetables, all- purpose, coffee/tea, ice cream, pork, cheeses, milk, toilet paper
 vegetables, poultry, vegetables, flour, poultry, pasta, cheeses, yogurt, pork, all- purpose, individual meals, all- purpose, lunch meat, coffee/tea
 vegetables, pasta, mixes, sandwich bags, tortillas, flour, tortillas, paper towels, sugar, bagels, paper towels, pasta, pork, butter
 vegetables, ice cream, flour, sandwich loaves, cereals, ketchup, sugar, pasta, cheeses, pasta, mixes, laundry detergent, sandwich loaves, eggs
 poultry, vegetables, all- purpose, bagels, beef, ice cream, sandwich bags, yogurt, vegetables, juice, sandwich bags, ,,
 ice cream, beef, cheeses, pork, lunch meat, individual meals, lunch meat, paper towels, flour, laundry detergent, shampoo, poultry, sugar, ice cream
 butter, soda, milk, sandwich bags, laundry detergent, fruits, cereals, soda, poultry, butter, eggs, mixes, aluminum foil, cereals
 poultry, eggs, yogurt, sugar, juice, aluminum foil, vegetables, poultry, vegetables, waffles, mixes, vegetables, bagels, cheeses
 poultry, paper towels, toilet paper, flour, fruits, cereals, toilet paper, poultry, waffles, juice, vegetables, hand soap, mixes, eggs
 soap, lunch meat, vegetables, laundry detergent, milk, bagels, lunch meat, tortillas, pork, eggs, soda, sandwich bags, paper towels, tortillas
 pork, yogurt, ice cream, lunch meat, vegetables, milk, cereals, spaghetti sauce, yogurt, toilet paper, all- purpose, sandwich bags, flour, poultry
 soda, ice cream, waffles, shampoo, lunch meat, fruits, pork, aluminum foil, pasta, pasta, coffee/tea, toilet paper, spaghetti sauce, beef
 soap, vegetables, all- purpose, milk, spaghetti sauce, dishwashing liquid/detergent, juice, bagels, milk, lunch meat, butter, soda, spaghetti sauce, fruits
 soap, cereals, vegetables, coffee/tea, ice cream, beef, individual meals, poultry, dinner rolls, lunch meat, beef, pork, ,
 pork, sandwich bags, beef, coffee/tea, eggs, fruits, sugar, mixes, cereals, sandwich bags, soap, all- purpose, eggs, dishwashing liquid/detergent
 juice, hand soap, all- purpose, pasta, sandwich loaves, vegetables, soap, ,,,,,,
 lunch meat, beef, vegetables, fruits, beef, sandwich bags, ketchup, vegetables, ketchup, shampoo, cereals, tortillas, aluminum foil, milk
 yogurt, all- purpose, dishwashing liquid/detergent, vegetables, aluminum foil, vegetables, dinner rolls, poultry, tortillas, laundry detergent, fruits, individual meals, vegetables, pork
 all- purpose, laundry detergent, sandwich loaves, sugar, vegetables, spaghetti sauce, soda, beef, dishwashing liquid/detergent, vegetables, milk, flour, poultry, cereals
 ketchup, yogurt, laundry detergent, lunch meat, pork, mixes, ketchup, shampoo, mixes, aluminum foil, pasta, mixes, soap, vegetables
 beef, all- purpose, sugar, dishwashing liquid/detergent, butter, milk, ,,,,,,,
 bagels, paper towels, pork, shampoo, butter, ,,,,,,,,
 individual meals, bagels, dinner rolls, all- purpose, paper towels, soap, sandwich loaves, cheeses, individual meals, laundry detergent, ketchup, pasta, lunch meat, juice
 all- purpose, ice cream, coffee/tea, all- purpose, toilet paper, individual meals, flour, juice, toilet paper, soap, pasta, paper towels, cheeses, lunch meat
 beef, cereals, paper towels, waffles, sandwich loaves, vegetables, coffee/tea, all- purpose, ,,,,,
 shampoo, paper towels, pasta, fruits, soda, paper towels, yogurt, butter, individual meals, individual meals, cereals, vegetables, sugar, paper towels
 aluminum foil, ice cream, flour, aluminum foil, mixes, vegetables, ketchup, yogurt, fruits, ice cream, vegetables, sugar, beef, soap
 soap, coffee/tea, vegetables, coffee/tea, yogurt, vegetables, juice, pork, individual meals, vegetables, pork, cheeses, vegetables, bagels
 flour, hand soap, cheeses, soap, sandwich bags, all- purpose, mixes, ketchup, fruits, ,,,,
 beef, soap, fruits, cereals, paper towels, ketchup, eggs, pasta, poultry, cheeses, poultry, fruits, tortillas, sandwich loaves
 hand soap, beef, coffee/tea, all- purpose, milk, bagels, all- purpose, vegetables, coffee/tea, milk, soda, waffles, sandwich loaves, shampoo
 sugar, butter, ice cream, soda, cereals, soda, vegetables, toilet paper, butter, butter, fruits, lunch meat, aluminum foil, eggs
 beef, toilet paper, soda, dinner rolls, beef, fruits, eggs, sandwich bags, cereals, waffles, soda, eggs, beef, lunch meat
 shampoo, pasta, milk, all- purpose, individual meals, sugar, mixes, cheeses, bagels, poultry, butter, coffee/tea, milk, lunch meat
 sandwich bags, cheeses, juice, laundry detergent, individual meals, lunch meat, waffles, vegetables, yogurt, waffles, ,,,
 toilet paper, dinner rolls, juice, vegetables, eggs, poultry, dishwashing liquid/detergent, sandwich loaves, all- purpose, waffles, sandwich loaves, soda, toilet paper, shampoo
 dinner rolls, vegetables, milk, ice cream, vegetables, ice cream, ,,,,,,,
 milk, eggs, poultry, poultry, hand soap, bagels, all- purpose, coffee/tea, soap, aluminum foil, coffee/tea, lunch meat, all- purpose, yogurt
 all- purpose, ice cream, tortillas, milk, coffee/tea, fruits, cereals, dinner rolls, pork, spaghetti sauce, sugar, shampoo, spaghetti sauce, cereals
 pork, ketchup, flour, pork, eggs, ,,,,,,,,
 butter, pork, pork, hand soap, tortillas, milk, tortillas, ,,,,,,
 eggs, cheeses, butter, sandwich bags, vegetables, dinner rolls, sandwich bags, waffles, waffles, waffles, ,,,
 yogurt, sandwich bags, individual meals, fruits, pasta, ice cream, soap, ,,,,,,
 yogurt, vegetables, poultry, waffles, poultry, vegetables, waffles, spaghetti sauce, beef, sugar, lunch meat, hand soap, dinner rolls, hand soap
 lunch meat, lunch meat, poultry, all- purpose, beef, shampoo, sugar, individual meals, shampoo, hand soap, vegetables, mixes, vegetables, shampoo
 coffee/tea, all- purpose, beef, hand soap, paper towels, bagels, lunch meat, spaghetti sauce, poultry, vegetables, tortillas, individual meals, juice, poultry
 flour, ice cream, toilet paper, sugar, fruits, milk, poultry, aluminum foil, sandwich bags, sugar, milk, paper towels, hand soap, dishwashing liquid/detergent
 dinner rolls, hand soap, paper towels, butter, soap, sugar, flour, waffles, all- purpose, flour, yogurt, toilet paper, lunch meat, soda
 juice, hand soap, soda, vegetables, soda, dishwashing liquid/detergent, all- purpose, butter, soda, lunch meat, soda, sugar, bagels, ketchup
 tortillas, coffee/tea, beef, ketchup, ,,,,,,,,,
 cheeses, pasta, milk, ice cream, toilet paper, ,,,,,,,,
